Car ID,Date,Company,Model,Engine,Transmission,Body Style,Color,Price
93,1/5/2022,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Hardtop,Pale White,46500
94,1/5/2022,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,16000
95,1/5/2022,Volvo,V70,DoubleÂ Overhead Camshaft,Auto,Passenger,Black,39000
96,1/5/2022,Nissan,Quest,Overhead Camshaft,Manual,SUV,Black,19000
97,1/5/2022,Chrysler,LHS,DoubleÂ Overhead Camshaft,Auto,Hatchback,Black,26000
98,1/5/2022,Honda,Accord,Overhead Camshaft,Manual,Sedan,Black,43000
99,1/5/2022,Nissan,Maxima,Overhead Camshaft,Manual,Sedan,Pale White,54000
100,1/5/2022,Dodge,Durango,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,22000
101,1/6/2022,Lexus,ES300,DoubleÂ Overhead Camshaft,Auto,SUV,Black,16001
102,1/6/2022,BMW,328i,DoubleÂ Overhead Camshaft,Auto,Sedan,Black,16001
103,1/6/2022,Toyota,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,12000
104,1/6/2022,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Hardtop,Black,38000
105,1/6/2022,Ford,Explorer,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,42000
106,1/6/2022,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,21000
107,1/6/2022,Volvo,C70,DoubleÂ Overhead Camshaft,Auto,Hatchback,Black,49000
108,1/6/2022,Chevrolet,Prizm,Overhead Camshaft,Manual,Hardtop,Pale White,21200
109,1/6/2022,Mercury,Grand Marquis,Overhead Camshaft,Manual,SUV,Pale White,71000
110,1/6/2022,Chevrolet,Camaro,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,17000
111,1/9/2022,Subaru,Outback,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,57001
112,1/9/2022,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,62001
113,1/9/2022,Ford,Taurus,Overhead Camshaft,Manual,SUV,Black,69001
114,1/9/2022,Chevrolet,Cavalier,Overhead Camshaft,Manual,SUV,Pale White,20001
115,1/9/2022,Audi,A4,DoubleÂ Overhead Camshaft,Auto,Hardtop,Black,27000
116,1/9/2022,Ford,Focus,Overhead Camshaft,Manual,Hardtop,Black,49000
117,1/9/2022,Mitsubishi,Diamante,Overhead Camshaft,Manual,Hatchback,Black,49000
118,1/9/2022,Lexus,GS400,DoubleÂ Overhead Camshaft,Auto,Hatchback,Black,12000
119,1/9/2022,Mercedes-B,M-Class,Overhead Camshaft,Manual,Hatchback,Pale White,25000
120,1/9/2022,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,42000
121,1/9/2022,Chrysler,Sebring Coupe,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,19000
122,1/9/2022,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Hatchback,Pale White,26750
123,1/9/2022,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Passenger,Pale White,31000
124,1/9/2022,Saturn,LW,Overhead Camshaft,Manual,Hatchback,Pale White,49000
125,1/9/2022,Hyundai,Sonata,Overhead Camshaft,Manual,SUV,Black,15000
126,1/9/2022,Mercury,Sable,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,26000
127,1/9/2022,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Hardtop,Pale White,17000
128,1/9/2022,Volvo,C70,Overhead Camshaft,Manual,Hatchback,Pale White,24000
129,1/9/2022,Chevrolet,Metro,DoubleÂ Overhead Camshaft,Auto,Passenger,Pale White,19000
130,1/9/2022,Jaguar,S-Type,Overhead Camshaft,Manual,Passenger,Pale White,20000
131,1/10/2022,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Hatchback,Black,28501
132,1/10/2022,BMW,323i,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,15500
133,1/10/2022,Plymouth,Voyager,Overhead Camshaft,Manual,Passenger,Pale White,20000
134,1/10/2022,Nissan,Maxima,Overhead Camshaft,Manual,Sedan,Pale White,29000
135,1/10/2022,Chrysler,Cirrus,DoubleÂ Overhead Camshaft,Auto,Passenger,Pale White,12500
136,1/12/2022,Mercury,Grand Marquis,Overhead Camshaft,Manual,SUV,Pale White,16001
137,1/12/2022,Lexus,ES300,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,27250
138,1/12/2022,Dodge,Intrepid,Overhead Camshaft,Manual,Sedan,Black,11000
139,1/12/2022,Nissan,Maxima,Overhead Camshaft,Manual,Sedan,Pale White,22001
140,1/12/2022,Dodge,Avenger,DoubleÂ Overhead Camshaft,Auto,Passenger,Pale White,22000
141,1/12/2022,Chevrolet,Corvette,Overhead Camshaft,Manual,SUV,Pale White,22000
142,1/12/2022,Acura,RL,Overhead Camshaft,Manual,SUV,Black,18000
143,1/12/2022,Honda,Odyssey,Overhead Camshaft,Manual,Passenger,Pale White,27000
144,1/12/2022,Oldsmobile,Intrigue,Overhead Camshaft,Manual,SUV,Pale White,25000
145,1/12/2022,Acura,RL,Overhead Camshaft,Manual,SUV,Pale White,26500
146,1/12/2022,Ford,Taurus,Overhead Camshaft,Manual,SUV,Black,69000
147,1/12/2022,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Sedan,Pale White,14150
148,1/12/2022,Saab,5-Sep,Overhead Camshaft,Manual,Hatchback,Pale White,28000
149,1/12/2022,Honda,Civic,Overhead Camshaft,Manual,Hatchback,Black,43000
150,1/12/2022,BMW,528i,Overhead Camshaft,Manual,SUV,Pale White,25000
151,1/12/2022,Oldsmobile,Silhouette,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,12000
152,1/12/2022,Lexus,LS400,DoubleÂ Overhead Camshaft,Auto,Sedan,Black,39000
153,1/12/2022,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Passenger,Black,60500
154,1/12/2022,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Passenger,Pale White,16000
155,1/12/2022,Pontiac,Bonneville,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,19000
156,1/12/2022,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Hatchback,Black,44000
157,1/12/2022,Oldsmobile,Aurora,Overhead Camshaft,Manual,Passenger,Pale White,71000
158,1/12/2022,Ford,Mustang,Overhead Camshaft,Manual,Hatchback,Pale White,25000
159,1/12/2022,Mitsubishi,Diamante,DoubleÂ Overhead Camshaft,Auto,Hatchback,Black,18000
160,1/12/2022,Ford,Expedition,Overhead Camshaft,Manual,SUV,Pale White,22000
161,1/12/2022,Mercedes-B,M-Class,Overhead Camshaft,Manual,Hardtop,Pale White,41000
162,1/12/2022,Ford,Focus,Overhead Camshaft,Manual,Hardtop,Black,49000
163,1/12/2022,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Passenger,Pale White,19000
164,1/12/2022,BMW,528i,Overhead Camshaft,Manual,SUV,Black,21000
165,1/12/2022,Subaru,Forester,DoubleÂ Overhead Camshaft,Auto,Hardtop,Black,22000
166,1/13/2022,Plymouth,Breeze,Overhead Camshaft,Manual,SUV,Pale White,16000
167,1/13/2022,Volkswagen,Beetle,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,45000
168,1/13/2022,Dodge,Intrepid,Overhead Camshaft,Manual,Sedan,Black,11650
169,1/13/2022,Hyundai,Elantra,Overhead Camshaft,Manual,Sedan,Pale White,26000
170,1/13/2022,Saturn,SW,Overhead Camshaft,Manual,Passenger,Black,36000
171,1/13/2022,Lincoln,Continental,Overhead Camshaft,Manual,Passenger,Pale White,82000
172,1/13/2022,Chevrolet,Camaro,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,24000
173,1/13/2022,Nissan,Pathfinder,Overhead Camshaft,Manual,Hardtop,Pale White,11800
174,1/13/2022,Toyota,RAV4,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,27500
175,1/13/2022,Mercury,Villager,DoubleÂ Overhead Camshaft,Auto,Passenger,Pale White,36000
176,1/13/2022,Jaguar,S-Type,Overhead Camshaft,Manual,Passenger,Pale White,20000
177,1/13/2022,Mercedes-B,SLK,Overhead Camshaft,Manual,Passenger,Pale White,17000
178,1/13/2022,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Passenger,Pale White,16900
179,1/13/2022,Buick,Regal,DoubleÂ Overhead Camshaft,Auto,Passenger,Pale White,46500
180,1/13/2022,Mercedes-B,C-Class,DoubleÂ Overhead Camshaft,Auto,Hatchback,Black,14000
181,1/13/2022,Toyota,Sienna,Overhead Camshaft,Manual,Passenger,Black,16000
182,1/13/2022,Volvo,S70,Overhead Camshaft,Manual,Hardtop,Black,22000
183,1/13/2022,Nissan,Altima,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,20000
184,1/13/2022,Toyota,Celica,Overhead Camshaft,Manual,SUV,Pale White,14200
185,1/13/2022,Saturn,LS,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,51000
186,1/17/2022,Mitsubishi,Diamante,Overhead Camshaft,Manual,Hatchback,Pale White,19000
187,1/17/2022,Lexus,GS400,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,31000
188,1/17/2022,Porsche,Carrera Cabrio,DoubleÂ Overhead Camshaft,Auto,Passenger,Pale White,32000
189,1/17/2022,Dodge,Ram Van,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,31000
190,1/17/2022,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Sedan,Pale White,14000
191,1/17/2022,Audi,A6,Overhead Camshaft,Manual,SUV,Black,25000
192,1/17/2022,Oldsmobile,Cutlass,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,46000
193,1/17/2022,Mercedes-B,S-Class,DoubleÂ Overhead Camshaft,Auto,SUV,Black,39500
194,1/17/2022,Mitsubishi,3000GT,DoubleÂ Overhead Camshaft,Auto,Sedan,Black,39000
195,1/17/2022,BMW,528i,DoubleÂ Overhead Camshaft,Auto,SUV,Black,31000
196,1/17/2022,Chevrolet,Malibu,Overhead Camshaft,Manual,Hatchback,Pale White,41000
197,1/17/2022,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,22000
198,1/17/2022,Ford,Mustang,Overhead Camshaft,Manual,Hatchback,Black,22000
199,1/17/2022,Dodge,Viper,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,41000
200,1/17/2022,Jaguar,S-Type,Overhead Camshaft,Manual,Passenger,Pale White,21000
201,1/17/2022,Mercedes-B,SLK,Overhead Camshaft,Manual,Passenger,Black,26000
202,1/17/2022,Mercedes-B,E-Class,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,31000
203,1/17/2022,Pontiac,Grand Am,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,19000
204,1/17/2022,Saturn,LW,Overhead Camshaft,Manual,Hatchback,Pale White,13000
205,1/17/2022,Saturn,SC,DoubleÂ Overhead Camshaft,Auto,Hardtop,Black,33000
206,1/19/2022,Mercury,Sable,Overhead Camshaft,Manual,Sedan,Pale White,61000
207,1/19/2022,Toyota,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,SUV,Black,21000
208,1/19/2022,Nissan,Maxima,Overhead Camshaft,Manual,Sedan,Pale White,16000
209,1/19/2022,Oldsmobile,Bravada,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,15000
210,1/19/2022,Volkswagen,Passat,Overhead Camshaft,Manual,Hatchback,Pale White,27000
211,1/19/2022,Volkswagen,Passat,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,13500
212,1/19/2022,Nissan,Xterra,DoubleÂ Overhead Camshaft,Auto,Passenger,Black,9250
213,1/19/2022,Ford,Mustang,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,31000
214,1/19/2022,Volkswagen,Passat,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,32000
215,1/19/2022,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,29500
216,1/21/2022,Mercury,Villager,Overhead Camshaft,Manual,Passenger,Pale White,14000
217,1/21/2022,Nissan,Frontier,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,18501
218,1/21/2022,Acura,RL,Overhead Camshaft,Manual,SUV,Pale White,17001
219,1/21/2022,Mitsubishi,Montero Sport,Overhead Camshaft,Manual,SUV,Pale White,12500
220,1/21/2022,BMW,528i,Overhead Camshaft,Manual,SUV,Black,21000
221,1/21/2022,BMW,528i,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,62000
222,1/21/2022,Ford,Crown Victoria,DoubleÂ Overhead Camshaft,Auto,Passenger,Black,11000
223,1/21/2022,Nissan,Frontier,Overhead Camshaft,Manual,Hatchback,Pale White,20000
224,1/21/2022,Honda,Accord,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,21200
225,1/21/2022,Toyota,Camry,Overhead Camshaft,Manual,Hatchback,Black,29000
226,1/21/2022,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Passenger,Pale White,17000
227,1/21/2022,Lexus,ES300,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,27000
228,1/21/2022,Volvo,S40,Overhead Camshaft,Manual,Sedan,Black,36000
229,1/21/2022,Lincoln,Navigator,DoubleÂ Overhead Camshaft,Auto,Sedan,Black,19000
230,1/21/2022,Nissan,Frontier,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,18000
231,1/21/2022,Chevrolet,Prizm,DoubleÂ Overhead Camshaft,Auto,Hardtop,Pale White,15000
232,1/21/2022,Toyota,Tacoma,Overhead Camshaft,Manual,Hardtop,Pale White,24000
233,1/21/2022,Nissan,Sentra,DoubleÂ Overhead Camshaft,Auto,Passenger,Black,16000
234,1/21/2022,Ford,Crown Victoria,DoubleÂ Overhead Camshaft,Auto,Passenger,Pale White,29000
235,1/21/2022,Pontiac,Bonneville,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,19000
236,1/21/2022,Mercedes-B,CL500,Overhead Camshaft,Manual,SUV,Black,22000
237,1/21/2022,Dodge,Viper,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,23500
238,1/21/2022,Mitsubishi,Galant,DoubleÂ Overhead Camshaft,Auto,Passenger,Pale White,36000
239,1/21/2022,Pontiac,Bonneville,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,19000
240,1/21/2022,Toyota,Tacoma,DoubleÂ Overhead Camshaft,Auto,Hardtop,Pale White,53000
241,1/23/2022,Cadillac,Escalade,DoubleÂ Overhead Camshaft,Auto,Sedan,Black,28000
242,1/23/2022,Oldsmobile,Silhouette,DoubleÂ Overhead Camshaft,Auto,Sedan,Black,60750
243,1/23/2022,Chevrolet,Prizm,DoubleÂ Overhead Camshaft,Auto,Hardtop,Pale White,42000
244,1/23/2022,Cadillac,Eldorado,Overhead Camshaft,Manual,Passenger,Pale White,31000
245,1/23/2022,Ford,Contour,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,62000
246,1/23/2022,Mercedes-B,S-Class,DoubleÂ Overhead Camshaft,Auto,SUV,Black,39500
247,1/23/2022,Toyota,Tacoma,Overhead Camshaft,Manual,Hardtop,Pale White,24001
248,1/23/2022,Mercedes-B,C-Class,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,15000
249,1/23/2022,Nissan,Quest,Overhead Camshaft,Manual,SUV,Black,19000
250,1/23/2022,Volkswagen,Golf,DoubleÂ Overhead Camshaft,Auto,Hardtop,Pale White,35000
251,1/24/2022,Hyundai,Sonata,Overhead Camshaft,Manual,SUV,Pale White,21000
252,1/24/2022,Nissan,Altima,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,20000
253,1/24/2022,Ford,Ranger,Overhead Camshaft,Manual,Hatchback,Black,18500
254,1/24/2022,Chevrolet,Corvette,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,45000
255,1/24/2022,Oldsmobile,Silhouette,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,12000
256,1/26/2022,Chevrolet,Prizm,Overhead Camshaft,Manual,SUV,Pale White,21500
257,1/26/2022,Volvo,S40,Overhead Camshaft,Manual,Sedan,Pale White,17000
258,1/26/2022,Chevrolet,Corvette,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,46000
259,1/26/2022,Toyota,Corolla,DoubleÂ Overhead Camshaft,Auto,Passenger,Pale White,41100
260,1/26/2022,Toyota,RAV4,Overhead Camshaft,Manual,Hatchback,Pale White,22500
261,1/27/2022,Mercury,Grand Marquis,DoubleÂ Overhead Camshaft,Auto,SUV,Black,9000
262,1/27/2022,Chevrolet,Cavalier,Overhead Camshaft,Manual,SUV,Pale White,20200
263,1/27/2022,Nissan,Maxima,Overhead Camshaft,Manual,Sedan,Pale White,59000
264,1/27/2022,Volvo,S70,Overhead Camshaft,Manual,SUV,Black,22000
265,1/27/2022,Subaru,Outback,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,57000
266,1/27/2022,Chevrolet,Corvette,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,25500
267,1/27/2022,Acura,RL,Overhead Camshaft,Manual,SUV,Black,18000
268,1/27/2022,Honda,Odyssey,Overhead Camshaft,Manual,Passenger,Pale White,27000
269,1/27/2022,Toyota,RAV4,Overhead Camshaft,Manual,Hatchback,Pale White,22000
270,1/27/2022,Toyota,Tacoma,Overhead Camshaft,Manual,Hatchback,Pale White,82000
271,1/27/2022,Plymouth,Prowler,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,15000
272,1/27/2022,Toyota,Camry,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,31000
273,1/27/2022,Volkswagen,Passat,DoubleÂ Overhead Camshaft,Auto,Hatchback,Pale White,13000
274,1/27/2022,Volkswagen,Cabrio,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,17000
275,1/27/2022,Chrysler,Sebring Coupe,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,46000
276,1/27/2022,Ford,Windstar,DoubleÂ Overhead Camshaft,Auto,Sedan,Pale White,19100
277,1/27/2022,Dodge,Durango,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,10000
278,1/27/2022,Lincoln,Continental,Overhead Camshaft,Manual,Passenger,Black,42000
279,1/27/2022,Mitsubishi,Diamante,DoubleÂ Overhead Camshaft,Auto,Hatchback,Black,18000
280,1/27/2022,Toyota,Celica,DoubleÂ Overhead Camshaft,Auto,SUV,Pale White,25000
